id,name,price,originalPrice,image,rating,review,description,category
16,Organic Black Bean Burger,$71.88,$80.50,http://dummyimage.com/173x100.png/cc0000/ffffff,3.3,586.9,Delicious plant-based burger made with organic black beans and spices.,XGTIW
17,Chocolate Hazelnut Spread,$84.86,$92.93,http://dummyimage.com/173x100.png/5fa2dd/ffffff,2.2,612.1,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",BBC
18,Trail Mix (Deluxe),$24.04,$41.32,http://dummyimage.com/231x100.png/ff4444/ffffff,2.0,910.3,"A delightful mix of nuts, fruit, and chocolate.",KIM^I
19,Dog Training Collar,$92.21,$50.66,http://dummyimage.com/140x100.png/5fa2dd/ffffff,1.3,930.8,Rechargeable training collar for effective behavior training.,DRUA
20,Organic Whole Wheat Flour,$13.49,$87.61,http://dummyimage.com/220x100.png/cc0000/ffffff,4.7,273.8,High-quality whole wheat flour for baking and cooking.,WATT
21,Flavored Rice Cakes,$21.22,$26.01,http://dummyimage.com/126x100.png/ff4444/ffffff,3.5,281.4,Light and crunchy rice cakes with a variety of flavors.,DTLA^
22,Maple Almond Granola,$83.44,$41.09,http://dummyimage.com/121x100.png/cc0000/ffffff,1.3,199.6,Crunchy granola with maple flavor and almond pieces for breakfast.,BBSI
23,Fall-Themed Table Runner,$12.91,$83.71,http://dummyimage.com/212x100.png/ff4444/ffffff,4.1,922.9,Decorative table runner perfect for autumn gatherings.,KMPA
24,Honey Glazed Carrots,$50.20,$71.52,http://dummyimage.com/227x100.png/cc0000/ffffff,2.2,895.5,"Sweet and savory carrots glazed in honey, perfect as a side dish.",ASTC
25,Terry Cloth Robe,$96.77,$20.28,http://dummyimage.com/101x100.png/5fa2dd/ffffff,1.2,519.6,"Soft and comfortable robe, perfect for lounging at home.",ASCMA
26,Lightweight Rain Jacket,$12.62,$68.11,http://dummyimage.com/203x100.png/dddddd/000000,3.9,837.3,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",ABCB
27,Jennifer's Amazing Lip Balm Kit,$92.79,$16.11,http://dummyimage.com/173x100.png/ff4444/ffffff,3.1,325.4,DIY kit to make your own lip balms in various flavors.,CHEK
28,Yoga Strap,$71.08,$77.05,http://dummyimage.com/127x100.png/ff4444/ffffff,3.0,798.4,Durable yoga strap for deeper stretches.,SHG
29,Honey Lemon Tea,$60.47,$71.67,http://dummyimage.com/188x100.png/dddddd/000000,2.4,957.4,"Refreshing tea with honey and lemon flavor, perfect for a warm drink.",FMB
30,Digital Wireless Camera,$36.78,$53.77,http://dummyimage.com/167x100.png/dddddd/000000,3.4,421.8,Secure digital wireless security camera system.,DLR^H
31,Sturdy Bookends,$28.27,$63.31,http://dummyimage.com/248x100.png/dddddd/000000,3.0,613.4,Stylish bookends to keep books organized on shelves.,TGS
32,Vegetarian Stir Fry Sauce,$71.40,$33.58,http://dummyimage.com/138x100.png/cc0000/ffffff,4.7,291.2,Flavorful sauce perfect for stir-frying vegetables and tofu.,ARDX
33,Kids' Outdoor Explorer Kit,$52.21,$45.28,http://dummyimage.com/151x100.png/dddddd/000000,2.7,612.1,Fun kit for aspiring explorers with binoculars and a compass.,R
34,Wrap Jumpsuit,$50.17,$47.26,http://dummyimage.com/141x100.png/cc0000/ffffff,2.3,333.7,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.,TJX
35,Smart Water Bottle with Hydration Reminder,$97.92,$96.63,http://dummyimage.com/194x100.png/dddddd/000000,1.1,900.2,Bottle that tracks your water intake and reminds you to drink.,ZION
36,Sunglasses,$99.91,$47.82,http://dummyimage.com/125x100.png/cc0000/ffffff,3.8,715.6,Polarized sunglasses with UV protection.,EEI
37,Almond Crunch Granola Bars,$52.97,$75.50,http://dummyimage.com/136x100.png/dddddd/000000,3.4,969.6,Nutty granola bars for healthy snacking.,PSB^U
38,Salsa,$88.65,$93.97,http://dummyimage.com/184x100.png/ff4444/ffffff,1.6,944.3,"Fresh and zesty salsa, perfect for nachos.",GTXI
39,Gaming Headset,$77.64,$55.96,http://dummyimage.com/204x100.png/5fa2dd/ffffff,4.6,140.4,Comfortable gaming headset with surround sound.,DAVE
40,Gardening Gloves,$79.16,$4.46,http://dummyimage.com/168x100.png/ff4444/ffffff,1.2,691.6,Durable gardening gloves with reinforced fingertips.,SSP
41,Toy Building Set,$14.74,$72.31,http://dummyimage.com/131x100.png/dddddd/000000,1.3,976.6,Creative building set for kids to spark imagination.,ESRX
42,Hair Dryer,$94.68,$8.11,http://dummyimage.com/170x100.png/cc0000/ffffff,1.5,141.4,Compact hair dryer with multiple heat settings.,BMA
43,Organic Quinoa,$51.54,$16.25,http://dummyimage.com/100x100.png/ff4444/ffffff,3.7,660.8,Nutritious organic quinoa for salads or sides,NLSN
44,Stainless Steel Travel Mug,$80.33,$8.59,http://dummyimage.com/117x100.png/dddddd/000000,2.7,125.5,Insulated mug to keep drinks hot on the go.,OR
45,Instant Camera,$64.38,$53.93,http://dummyimage.com/124x100.png/ff4444/ffffff,4.7,627.8,Retro instant camera for capturing and printing photos instantly.,NRCIB
46,Kids' Gardening Kit,$73.25,$69.73,http://dummyimage.com/214x100.png/5fa2dd/ffffff,4.4,875.4,Complete set designed for children to learn gardening.,PID
47,Wireless HDMI Receiver,$92.16,$28.91,http://dummyimage.com/136x100.png/cc0000/ffffff,4.4,240.5,Stream HD video wirelessly from devices to TV.,KEX
48,Foldable Yoga Mat Carry Bag,$93.32,$22.92,http://dummyimage.com/160x100.png/ff4444/ffffff,2.7,774.8,Durable bag for carrying your yoga mat and accessories.,JHA
49,Vegetable Pizza Rolls,$16.84,$67.77,http://dummyimage.com/206x100.png/5fa2dd/ffffff,1.0,966.0,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks.",METC
50,Kettle Chip Variety Pack,$80.47,$97.79,http://dummyimage.com/125x100.png/ff4444/ffffff,3.4,818.7,A crunchy collection of flavored kettle chips in a convenient pack.,ELSE
51,Pear and Gorgonzola Salad,$47.86,$18.15,http://dummyimage.com/120x100.png/dddddd/000000,1.4,56.9,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",EURN
52,Wireless Game Controller,$11.82,$25.10,http://dummyimage.com/191x100.png/ff4444/ffffff,5.0,612.4,Ergonomic wireless controller for gaming consoles.,GGZ
53,Adjustable Window Blind,$94.80,$52.21,http://dummyimage.com/182x100.png/dddddd/000000,3.3,820.7,Customizable window cover for light control and privacy.,NTNX
54,Balsamic Vinaigrette,$57.93,$97.84,http://dummyimage.com/234x100.png/ff4444/ffffff,2.5,771.6,Rich and tangy dressing perfect for salads.,CASS
55,Pet Tracking Collar,$55.57,$22.29,http://dummyimage.com/170x100.png/ff4444/ffffff,3.8,444.2,GPS pet collar that helps locate your pet via smartphone app.,PWOD
56,Fashionable Fanny Pack,$86.09,$26.48,http://dummyimage.com/165x100.png/5fa2dd/ffffff,4.2,256.4,"A trendy fanny pack, perfect for hands-free outings.",COF^D
57,Herbed Chicken Breast,$54.36,$43.74,http://dummyimage.com/179x100.png/5fa2dd/ffffff,3.0,26.4,"Marinated chicken breast seasoned with herbs, ready for grilling.",SMRT
58,Wireless Security Camera,$94.61,$25.80,http://dummyimage.com/192x100.png/cc0000/ffffff,4.9,225.2,1080p wireless security camera with night vision.,JBK
59,Elegant Lace Dress,$30.76,$76.80,http://dummyimage.com/211x100.png/cc0000/ffffff,1.5,822.7,A stunning lace dress perfect for special occasions.,QVCB
60,Microfiber Cleaning Cloths,$47.90,$12.88,http://dummyimage.com/205x100.png/dddddd/000000,4.4,431.9,Pack of ultra-soft microfiber cloths for cleaning.,FPAY
61,Portable Speaker Stand,$89.30,$58.20,http://dummyimage.com/214x100.png/5fa2dd/ffffff,1.9,981.7,Adjustable stand for portable speakers and devices.,APTI
62,Breezy Off-The-Shoulder Top,$73.84,$48.12,http://dummyimage.com/144x100.png/dddddd/000000,1.3,270.5,A light and breezy top ideal for warm days.,PCH
63,Vintage Button-Down Shirt,$46.68,$84.47,http://dummyimage.com/214x100.png/dddddd/000000,3.9,428.9,A retro-style button-down shirt with a relaxed fit.,MCRI
64,Beef Stroganoff Mix,$58.33,$23.07,http://dummyimage.com/194x100.png/dddddd/000000,3.8,404.5,Everything you need to create a hearty beef stroganoff.,ASPN
65,Wild Rice Pilaf,$90.70,$18.41,http://dummyimage.com/165x100.png/5fa2dd/ffffff,2.5,314.4,"A mix of wild rice with herbs and spices, ready to serve.",NPK
66,Portable Leaf Blower,$8.30,$22.86,http://dummyimage.com/236x100.png/cc0000/ffffff,4.1,117.0,Lightweight leaf blower for maintaining outdoor spaces.,AMAG
67,Puffed Rice Cake,$88.83,$97.26,http://dummyimage.com/195x100.png/cc0000/ffffff,2.3,322.2,Low-calorie rice cake for snacks.,FTFT
68,Chocolate Hazelnut Granola,$56.15,$13.91,http://dummyimage.com/109x100.png/ff4444/ffffff,2.6,180.0,Crunchy granola with chocolate and hazelnuts for breakfast.,CTWS
69,Car Seat Organizer,$20.56,$62.90,http://dummyimage.com/185x100.png/ff4444/ffffff,3.9,283.6,Storage solutions for keeping your car tidy and organized.,LTM
70,Teriyaki Chicken Stir-Fry,$82.13,$14.93,http://dummyimage.com/107x100.png/5fa2dd/ffffff,3.9,716.1,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",MILN
71,Chili Lime Shrimp,$49.35,$34.81,http://dummyimage.com/182x100.png/dddddd/000000,2.7,711.7,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",DCOM
72,Classic Leather Wallet,$27.26,$67.53,http://dummyimage.com/170x100.png/ff4444/ffffff,2.7,261.6,A sleek leather wallet that combines style and functionality.,CGG
73,Ceramic Cookware Set,$9.52,$10.33,http://dummyimage.com/185x100.png/cc0000/ffffff,4.1,291.6,Durable and non-stick ceramic cookware for healthy cooking.,DSPG
74,Digital Camera,$63.63,$44.94,http://dummyimage.com/189x100.png/5fa2dd/ffffff,1.9,966.4,Compact digital camera with 20MP resolution.,CAH
75,Portable Bluetooth Headphones,$59.69,$76.25,http://dummyimage.com/212x100.png/dddddd/000000,3.9,122.4,Wireless headphones with noise-canceling features.,RGSE
76,Cilantro Lime Rice,$63.53,$99.23,http://dummyimage.com/177x100.png/dddddd/000000,3.8,613.2,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",PIY
77,Adjustable Yoga Mat Strap,$17.79,$31.40,http://dummyimage.com/193x100.png/5fa2dd/ffffff,3.1,216.9,Convenient strap for carrying yoga mats to class.,SKX
78,Noise Reduction Headphones,$57.26,$35.17,http://dummyimage.com/218x100.png/cc0000/ffffff,3.0,345.3,Passive noise reduction headphones for focus.,BBT
79,Electric Rice Cooker with Steamer,$62.43,$38.09,http://dummyimage.com/201x100.png/ff4444/ffffff,3.9,265.6,Cook rice and steam vegetables simultaneously for healthy meals.,PEO
80,Ceramic Planter Set,$87.28,$72.07,http://dummyimage.com/220x100.png/cc0000/ffffff,4.8,326.1,Set of decorative ceramic planters for indoor plants.,QLYS
81,Coconut Chia Seed Pudding,$65.02,$92.43,http://dummyimage.com/215x100.png/5fa2dd/ffffff,3.4,674.3,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",WBS
82,Electric Pressure Cooker,$62.21,$22.91,http://dummyimage.com/198x100.png/ff4444/ffffff,1.7,25.5,"Multi-function pressure cooker that can sauté, steam, and slow cook.",COMT
83,Natural Peanut Butter,$57.79,$99.12,http://dummyimage.com/136x100.png/dddddd/000000,3.9,523.0,Creamy peanut butter with no added sugar or oils.,MTLS
84,Ankle Boots,$8.46,$98.26,http://dummyimage.com/105x100.png/5fa2dd/ffffff,3.9,57.2,"Stylish leather ankle boots with a block heel, perfect for fall styling.",DHR
85,Air Mattress,$31.82,$62.90,http://dummyimage.com/138x100.png/5fa2dd/ffffff,3.9,494.7,Inflatable air mattress for convenient sleeping.,FSCFL
86,Honey Graham Crackers,$49.27,$19.02,http://dummyimage.com/116x100.png/cc0000/ffffff,1.5,98.3,Sweet and crunchy honey-flavored graham crackers.,JSM
87,Coconut Curry Lentils,$44.55,$86.87,http://dummyimage.com/241x100.png/ff4444/ffffff,1.4,850.2,Lentils cooked in a coconut curry for a hearty meal.,GXP
88,Honey Garlic Sauce,$23.12,$98.95,http://dummyimage.com/108x100.png/cc0000/ffffff,4.8,55.0,A delicious sauce perfect for stir-frying or glazing meats.,NCZ
89,Almond Joy Snack Bars,$75.74,$86.86,http://dummyimage.com/230x100.png/cc0000/ffffff,2.9,604.5,Chewy snack bars with coconut and almonds coated in chocolate.,DAC
90,Smart Thermos,$94.79,$69.06,http://dummyimage.com/243x100.png/dddddd/000000,2.6,768.1,Thermos that tracks your water intake and temperature.,DLBS
91,Set of Herb Garden Markers,$87.79,$8.65,http://dummyimage.com/196x100.png/ff4444/ffffff,2.6,96.2,Stylish markers for labeling your indoor garden plants.,FCAP
92,Balsamic Glaze,$66.04,$5.61,http://dummyimage.com/104x100.png/cc0000/ffffff,3.4,969.1,Sweet and tangy balsamic reduction for drizzling.,BXMT
93,Multi-Cooker,$95.41,$46.93,http://dummyimage.com/220x100.png/dddddd/000000,1.6,867.1,Versatile multi-cooker for pressure cooking and slow cooking.,BHAC
94,Green Smoothie Mix,$8.52,$10.35,http://dummyimage.com/245x100.png/cc0000/ffffff,3.9,463.4,A convenient powder mix combining greens and fruits for smoothies.,DDR^K
95,Vegetarian Chili,$24.52,$37.48,http://dummyimage.com/121x100.png/5fa2dd/ffffff,4.7,549.1,"Hearty chili made with beans and vegetables, a savory meal option.",DDF
96,Kettle Corn Popcorn,$22.28,$35.34,http://dummyimage.com/174x100.png/cc0000/ffffff,2.5,460.0,"Sweet and salty kettle corn, perfect for snacking.",JCI
97,Decorative LED Neon Sign,$6.89,$18.45,http://dummyimage.com/227x100.png/cc0000/ffffff,2.9,259.1,"Bright, vibrant sign to add flair to any space.",PTR
98,Jump Rope with Counter,$86.20,$56.07,http://dummyimage.com/230x100.png/dddddd/000000,4.2,716.9,Durable jump rope with built-in counter for workouts.,TTMI
99,Vegetable Stir-Fry Kit,$15.26,$35.06,http://dummyimage.com/207x100.png/5fa2dd/ffffff,2.5,703.9,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",EFOI
100,Dual Function Electric Skillet,$43.81,$96.48,http://dummyimage.com/198x100.png/ff4444/ffffff,3.7,58.5,"Skillet that can fry, grill, and sauté with ease.",SALM
101,Children's Art Set,$31.03,$19.61,http://dummyimage.com/239x100.png/dddddd/000000,2.1,652.1,All-in-one art set for kids to unleash creativity.,VTR
102,Crispy Kale Chips,$62.17,$15.00,http://dummyimage.com/199x100.png/dddddd/000000,2.1,875.2,"Baked kale chips seasoned for a healthy, crunchy snack.",DWAQ
103,Reusable Silicone Food Storage Bags,$26.82,$25.08,http://dummyimage.com/203x100.png/dddddd/000000,4.4,308.7,Eco-friendly bags for storing food without plastic waste.,ACN
104,Watercolor Set,$83.58,$42.50,http://dummyimage.com/244x100.png/5fa2dd/ffffff,1.4,793.8,Complete watercolor set with paints and brushes.,MRDN
105,Vanilla Ice Cream,$52.27,$48.10,http://dummyimage.com/188x100.png/cc0000/ffffff,2.4,504.8,"Creamy and rich vanilla ice cream, a classic dessert.",CBS.A
106,Beef Sirloin Steak,$62.34,$54.94,http://dummyimage.com/151x100.png/cc0000/ffffff,2.1,132.1,"Juicy and tender beef sirloin steak, grass-fed.",PIR
107,Italian Herbal Seasoning,$15.48,$71.14,http://dummyimage.com/124x100.png/cc0000/ffffff,1.7,455.8,A fragrant blend of Italian herbs for pasta sauces and marinades.,LRN
108,Energy Bites,$33.59,$44.97,http://dummyimage.com/115x100.png/dddddd/000000,1.0,947.0,Healthy energy bites made with oats and natural sweeteners.,CPN
109,Spicy BBQ Sauce,$44.79,$28.82,http://dummyimage.com/239x100.png/cc0000/ffffff,2.9,516.9,A tangy and spicy BBQ sauce that's perfect for grilling.,UDBI
110,Sesame Garlic Stir-Fry Sauce,$78.55,$31.46,http://dummyimage.com/240x100.png/5fa2dd/ffffff,3.2,141.9,A flavorful sauce for stir-frying vegetables and meats.,PSTB
111,Cauliflower Crust Pizza,$9.54,$91.11,http://dummyimage.com/173x100.png/cc0000/ffffff,4.1,846.9,A gluten-free pizza crust made from cauliflower.,TPC
112,Granola Clusters,$99.17,$64.27,http://dummyimage.com/211x100.png/ff4444/ffffff,2.0,760.4,"Crunchy granola clusters, perfect for snacking or topping yogurt.",SRT
113,Organic Baby Spinach,$65.07,$76.56,http://dummyimage.com/225x100.png/dddddd/000000,4.7,361.6,"Fresh baby spinach leaves, great for salads and smoothies.",GLT
114,Portable Leaf Blower,$8.93,$97.25,http://dummyimage.com/143x100.png/5fa2dd/ffffff,4.7,719.1,Lightweight leaf blower for maintaining outdoor spaces.,FAD
115,Organic Whole Grain Oats,$13.53,$36.76,http://dummyimage.com/119x100.png/cc0000/ffffff,4.3,426.9,Whole grain oats that are perfect for breakfast or baking.,DCUD
116,Baking Powder,$87.66,$84.08,http://dummyimage.com/151x100.png/dddddd/000000,1.2,983.0,Essential ingredient for baking fluffy cakes and pastries.,SJW
117,Buffalo Stilton Cheese,$11.91,$88.20,http://dummyimage.com/214x100.png/cc0000/ffffff,4.5,809.3,Spicy blue cheese with a hint of buffalo flavor.,ABEV
118,Gardening Tools Set,$55.43,$65.22,http://dummyimage.com/189x100.png/5fa2dd/ffffff,3.3,808.9,Complete set of gardening tools for outdoor tasks.,PNC
119,Italian Pasta,$89.83,$51.41,http://dummyimage.com/190x100.png/cc0000/ffffff,3.1,385.5,"Authentic Italian pasta, perfect for a classic meal.",MXIM
120,Freestanding Wine Rack,$86.64,$38.25,http://dummyimage.com/168x100.png/5fa2dd/ffffff,1.5,730.5,Stylish wine rack to store and display bottles.,AGO^F
121,Cable Knit Cardigan,$67.04,$53.08,http://dummyimage.com/246x100.png/5fa2dd/ffffff,4.6,1.6,Cozy cable knit cardigan to layer during chilly evenings.,WBA
122,Hand Crank Blender,$25.43,$29.17,http://dummyimage.com/215x100.png/cc0000/ffffff,1.7,585.5,Manual blender for smoothies and mixing ingredients on the go.,MBII
123,Salsa,$93.42,$52.74,http://dummyimage.com/184x100.png/dddddd/000000,1.1,566.3,"Fresh and zesty salsa, perfect for nachos.",IKNX
124,Dish Rack,$42.32,$0.94,http://dummyimage.com/154x100.png/5fa2dd/ffffff,2.0,188.9,Collapsible dish rack for kitchen countertop use.,FBNC
125,Fresh Basil Pesto,$59.97,$93.05,http://dummyimage.com/106x100.png/5fa2dd/ffffff,5.0,881.6,"A fresh, flavorful basil pesto for pasta and more",SAEX
126,Suede Ankle Booties,$81.75,$75.64,http://dummyimage.com/143x100.png/dddddd/000000,1.5,116.1,"Chic suede ankle booties, perfect for dressing up or down.",AFSI^E
127,Peach Slices (canned),$94.04,$45.04,http://dummyimage.com/250x100.png/cc0000/ffffff,2.3,514.9,"Juicy peach slices in syrup, perfect for desserts.",AEY
128,Creamy Avocado Dip,$83.92,$56.27,http://dummyimage.com/171x100.png/ff4444/ffffff,4.7,938.2,"Rich and creamy dip made with real avocado, great for chips.",FNFV
129,Smart Fitness Scale,$96.54,$44.79,http://dummyimage.com/197x100.png/cc0000/ffffff,4.4,79.7,Bluetooth scale that tracks body composition through an app.,RFP
130,Honey Garlic Shrimp,$95.26,$87.86,http://dummyimage.com/208x100.png/5fa2dd/ffffff,4.2,77.3,"Shrimp marinated in a honey garlic sauce, ready to cook.",SWIR
131,Whipped Cream Cheese,$8.75,$45.89,http://dummyimage.com/206x100.png/dddddd/000000,1.5,401.7,"Light and fluffy cream cheese, perfect for bagels or cooking.",PLAY
132,Travel Hair Straightener,$30.90,$32.27,http://dummyimage.com/157x100.png/dddddd/000000,3.9,131.4,Compact hair straightener for travel.,SHPG
133,Elderberry Syrup Kit,$70.03,$91.03,http://dummyimage.com/225x100.png/5fa2dd/ffffff,3.5,340.9,DIY kit to make your own elderberry syrup.,ZTR
134,Summer Tank Dress,$3.49,$24.76,http://dummyimage.com/243x100.png/cc0000/ffffff,4.6,983.7,"A lightweight tank dress, ideal for warm weather outings.",PSB^W
135,Fresh Lemons,$57.20,$70.56,http://dummyimage.com/184x100.png/cc0000/ffffff,4.4,854.1,Citrusy lemons perfect for drinks and cooking.,HDSN
136,Fitness Tracker Watch,$49.23,$49.26,http://dummyimage.com/220x100.png/5fa2dd/ffffff,4.9,481.9,Water-resistant activity tracker and smartwatch features.,DNOW
137,Smartphone Gimbal,$79.08,$64.37,http://dummyimage.com/190x100.png/ff4444/ffffff,1.2,763.8,Stabilizing gimbal for smooth video recording.,GATX
138,Compact Electric Kettle,$29.88,$18.96,http://dummyimage.com/195x100.png/5fa2dd/ffffff,3.1,519.9,Quick-boiling kettle for home and office use.,SMG
139,Honey Wheat Pretzels,$85.09,$85.43,http://dummyimage.com/128x100.png/dddddd/000000,3.9,774.5,Crunchy pretzel sticks made with honey and whole wheat.,WCFB
140,Organic Coconut Oil,$53.61,$98.87,http://dummyimage.com/211x100.png/dddddd/000000,4.5,304.5,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",CENX
141,Smart Scale,$56.33,$79.66,http://dummyimage.com/153x100.png/dddddd/000000,3.4,413.3,Wi-Fi smart scale for tracking weight and BMI.,SGRP
142,Baked Falafel,$88.33,$73.31,http://dummyimage.com/156x100.png/5fa2dd/ffffff,2.0,235.1,"Crispy baked falafel balls, perfect for salads",GLP
143,Honey Mustard Pretzel Bites,$43.24,$1.93,http://dummyimage.com/176x100.png/5fa2dd/ffffff,3.3,275.4,"Delicious pretzel bites with a sweet honey mustard flavor, perfect for dipping.",AAL
144,Field Journal,$48.01,$87.40,http://dummyimage.com/171x100.png/5fa2dd/ffffff,2.2,845.8,Durable journal for nature observations and notes.,CASH
145,Fresh Lemons,$18.89,$32.45,http://dummyimage.com/243x100.png/cc0000/ffffff,3.0,613.9,Citrusy lemons perfect for drinks and cooking.,GDL^B
146,Veggie Chips Variety Pack,$77.96,$2.39,http://dummyimage.com/137x100.png/5fa2dd/ffffff,3.2,304.4,A colorful variety of crunchy veggie chips for snacking.,PSDO
147,Asian Salad Mix,$30.55,$30.75,http://dummyimage.com/105x100.png/5fa2dd/ffffff,2.9,82.7,Fresh greens and veggies for a quick Asian-inspired salad.,AVA
148,Flavored Popcorn Mix,$94.94,$31.81,http://dummyimage.com/136x100.png/dddddd/000000,2.8,759.2,Popcorn tossed with sweet or savory flavors for a tasty snack.,AVT
149,Creamy Ranch Dressing,$40.03,$13.00,http://dummyimage.com/242x100.png/ff4444/ffffff,4.8,362.9,Classic ranch dressing for salads and dipping.,WY
150,Sweet BBQ Dipping Sauce,$20.47,$58.84,http://dummyimage.com/172x100.png/ff4444/ffffff,3.3,918.6,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,FLL
151,Cranberry Lime Sparkling Water,$0.01,$56.38,http://dummyimage.com/128x100.png/dddddd/000000,2.1,347.1,Refreshing sparkling water infused with cranberry and lime flavors.,EEX
152,Handheld Shower Head,$13.51,$79.82,http://dummyimage.com/209x100.png/5fa2dd/ffffff,1.4,184.9,Adjustable shower head for a luxurious shower experience.,CIE
153,Kid's Fruit Snacks,$41.79,$13.25,http://dummyimage.com/114x100.png/dddddd/000000,3.4,814.1,Assorted fruit-flavored gummy snacks that kids love.,GSUM
154,Electric Egg Cooker,$97.94,$0.08,http://dummyimage.com/201x100.png/cc0000/ffffff,5.0,408.2,Automatically cooks eggs to your desired level.,ABTL
155,Organic Spinach,$55.07,$10.59,http://dummyimage.com/250x100.png/dddddd/000000,3.2,409.9,"Fresh organic spinach, great for salads or cooking.",PENN
156,Chicken Sausage,$4.76,$2.11,http://dummyimage.com/245x100.png/5fa2dd/ffffff,3.0,136.5,"Flavorful chicken sausage, low in fat and fully cooked.",NDRA
157,Coconut Curry Lentil Soup,$81.86,$21.75,http://dummyimage.com/207x100.png/ff4444/ffffff,3.4,271.3,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",FITB
158,Pet Hair Vacuum Attachment,$37.31,$94.41,http://dummyimage.com/185x100.png/dddddd/000000,1.6,6.7,Special attachment for vacuum cleaners to remove pet hair easily.,DGRW
159,Compact Hair Dryer,$23.60,$94.48,http://dummyimage.com/225x100.png/5fa2dd/ffffff,2.2,131.2,Lightweight hair dryer with multiple speed settings.,PKI
160,Tandoori Chicken Marinade,$47.20,$39.24,http://dummyimage.com/167x100.png/5fa2dd/ffffff,2.7,920.9,Delicious and tangy marinade for grilling or baking chicken.,DVMT
161,Chocolate Raspberry Tart,$92.17,$93.87,http://dummyimage.com/152x100.png/ff4444/ffffff,1.6,298.5,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",RSO^B
162,Sturdy Bookends,$90.22,$89.49,http://dummyimage.com/241x100.png/cc0000/ffffff,1.2,762.4,Stylish bookends to keep books organized on shelves.,TRNC
163,Air Fryer,$95.11,$22.65,http://dummyimage.com/147x100.png/5fa2dd/ffffff,2.8,925.3,Compact air fryer for healthier cooking.,SO
164,Pasta Maker,$37.30,$80.26,http://dummyimage.com/102x100.png/cc0000/ffffff,2.1,582.1,Manual pasta maker for homemade pasta.,BANF
